scenario,timing_preset,total_users,cw_min,lower_cw_min,higher_cw_min,class_name,class_users,trials,mean_successful_packets,mean_collision_attempts,mean_average_delay_slots,stddev_average_delay_slots,ci95_low_average_delay_slots,ci95_high_average_delay_slots,mean_throughput_bits_per_slot,stddev_throughput_bits_per_slot,ci95_low_throughput_bits_per_slot,ci95_high_throughput_bits_per_slot,mean_per_user_throughput_bits_per_slot,mean_jain_fairness_index,ci95_low_jain_fairness_index,ci95_high_jain_fairness_index,mean_per_user_throughput_variance,ci95_low_per_user_throughput_variance,ci95_high_per_user_throughput_variance,mean_zero_success_station_fraction,ci95_low_zero_success_station_fraction,ci95_high_zero_success_station_fraction,mean_max_station_throughput_share,ci95_low_max_station_throughput_share,ci95_high_max_station_throughput_share
sweep-users,baseline,10,16,,,standard,10,10,3107.0,1756.1,63.06931401646305,1.1116678902998312,62.380295119598806,63.7583329133273,1864.2,20.74415580350283,1851.342639026612,1877.057360973388,186.42000000000002,0.9666289520364749,0.9551776554590479,0.978080248613902,1213.06032,778.0446910413634,1648.0759489586367,0.0,0.0,0.0,0.12948509681895842,0.12350426771819406,0.13546592591972278
sweep-users,baseline,20,16,,,standard,20,10,2894.0,2445.1,131.52117690995823,2.279317912285534,130.10844103152758,132.93391278838888,1736.4,25.126878039263058,1720.8261996417061,1751.973800358294,86.82,0.9181288657942664,0.9112049339999293,0.9250527975886036,673.74864,609.8060366706264,737.6912433293736,0.0,0.0,0.0,0.07780113501855847,0.07512051566625116,0.08048175437086577
sweep-users,baseline,30,16,,,standard,30,10,2733.4,2893.8,203.28846226466612,4.667898127624815,200.39526903075588,206.18165549857636,1640.0400000000002,17.641315143718742,1629.1057995921058,1650.9742004078946,54.66799999999999,0.877007823532885,0.8598029387312012,0.8942127083345688,421.42416000000003,357.05741173992976,485.7909082600703,0.0,0.0,0.0,0.060138631103193375,0.057454748659065684,0.06282251354732106
sweep-users,baseline,40,16,,,standard,40,10,2591.9,3239.2,274.4012446035379,8.661102017237233,269.03303795691437,279.76945125016147,1555.1399999999999,25.267291109258224,1539.4791707192753,1570.8008292807244,38.878499999999995,0.8498518209716476,0.8328006014311957,0.8669030405120994,268.8332175,233.16057652192112,304.50585847807884,0.0,0.0,0.0,0.04922309951534114,0.04764377354852026,0.05080242548216202
sweep-users,baseline,50,16,,,standard,50,10,2503.6,3495.2,349.9283963824588,7.720504781200517,345.1431779426753,354.7136148222423,1502.1599999999999,19.932285368216032,1489.8058415357418,1514.514158464258,30.043200000000002,0.8065433467262195,0.7876094952181286,0.8254771982343104,218.4327072,190.52670084205877,246.33871355794125,0.0,0.0,0.0,0.04544453112335729,0.04211660196437516,0.048772460282339426
