scenario,timing_preset,trial,seed,total_users,cw_min,lower_cw_min,higher_cw_min,class_name,class_users,successful_packets,collision_attempts,average_delay_slots,throughput_bits_per_slot,jain_fairness_index,per_station_throughput_variance,zero_success_station_fraction,max_station_throughput_share
sweep-users,baseline,0,7,10,16,,,standard,10,3103,1703,62.280051563003546,1861.8,0.9424078230170606,2118.315600000001,0.0,0.14534321624234614
sweep-users,baseline,1,8,10,16,,,standard,10,3147,1802,62.5783285668891,1888.2,0.9724035241200746,1011.8195999999998,0.0,0.12360978709882428
sweep-users,baseline,2,9,10,16,,,standard,10,3157,1750,62.97402597402598,1894.2,0.9396196513470684,2305.6596,0.0,0.13683877098511243
sweep-users,baseline,3,10,10,16,,,standard,10,3104,1776,62.22648195876289,1862.4,0.9458936534085219,1984.0463999999997,0.0,0.132409793814433
sweep-users,baseline,4,11,10,16,,,standard,10,3129,1753,62.67433684883349,1877.4,0.9830464210516806,607.8564,0.0,0.1268775966762544
sweep-users,baseline,5,12,10,16,,,standard,10,3107,1702,61.4708722240103,1864.2,0.9844702026264235,548.2116000000001,0.0,0.12841969745735435
sweep-users,baseline,6,13,10,16,,,standard,10,3131,1783,62.85212392206962,1878.6,0.9895076364348431,374.21640000000014,0.0,0.1165761737464069
sweep-users,baseline,7,14,10,16,,,standard,10,3060,1831,64.73464052287582,1836.0,0.972881989900879,939.5999999999998,0.0,0.12450980392156862
sweep-users,baseline,8,15,10,16,,,standard,10,3067,1759,64.75806977502445,1840.2,0.9597116525546938,1421.5716000000007,0.0,0.14215846103684382
sweep-users,baseline,9,16,10,16,,,standard,10,3065,1702,64.1442088091354,1839.0,0.9763469659035042,819.3060000000002,0.0,0.11810766721044047
sweep-users,baseline,0,7,20,16,,,standard,20,2855,2445,134.5187390542907,1713.0,0.9217967914196603,622.3635,0.0,0.07600700525394044
sweep-users,baseline,1,8,20,16,,,standard,20,2902,2430,133.18504479669193,1741.2,0.9051556098211099,794.1924000000001,0.0,0.08373535492763612
sweep-users,baseline,2,9,20,16,,,standard,20,2848,2393,134.3999297752809,1708.8,0.9016224772457461,796.5144,0.0,0.08321629213483145
sweep-users,baseline,3,10,20,16,,,standard,20,2953,2457,128.08195055875382,1771.8,0.9120546257423338,756.7658999999999,0.0,0.08398239078902814
sweep-users,baseline,4,11,20,16,,,standard,20,2856,2489,132.39180672268907,1713.6,0.9216984116939826,623.6496,0.0,0.07352941176470587
sweep-users,baseline,5,12,20,16,,,standard,20,2899,2498,131.91203863401174,1739.4,0.9188674933798079,667.8530999999999,0.0,0.07795791652293893
