scenario,timing_preset,trial,seed,total_users,cw_min,lower_cw_min,higher_cw_min,class_name,class_users,successful_packets,collision_attempts,average_delay_slots,throughput_bits_per_slot,jain_fairness_index,per_station_throughput_variance,zero_success_station_fraction,max_station_throughput_share
sweep-cw,baseline,7,14,20,8,,,standard,20,2863,2890,131.32273838630806,1717.8,0.82917090688382,1519.8579000000004,0.0,0.09395738735592035
sweep-cw,baseline,8,15,20,8,,,standard,20,2838,2909,125.37244538407329,1702.8,0.8381490931946939,1399.7843999999996,0.0,0.09548978153629314
sweep-cw,baseline,9,16,20,8,,,standard,20,2857,2927,132.1809590479524,1714.2,0.8046245127863397,1783.7739000000001,0.0,0.09380469023451173
sweep-cw,baseline,0,7,20,16,,,standard,20,2855,2445,134.5187390542907,1713.0,0.9217967914196603,622.3635,0.0,0.07600700525394044
sweep-cw,baseline,1,8,20,16,,,standard,20,2902,2430,133.18504479669193,1741.2,0.9051556098211099,794.1924000000001,0.0,0.08373535492763612
sweep-cw,baseline,2,9,20,16,,,standard,20,2848,2393,134.3999297752809,1708.8,0.9016224772457461,796.5144,0.0,0.08321629213483145
sweep-cw,baseline,3,10,20,16,,,standard,20,2953,2457,128.08195055875382,1771.8,0.9120546257423338,756.7658999999999,0.0,0.08398239078902814
sweep-cw,baseline,4,11,20,16,,,standard,20,2856,2489,132.39180672268907,1713.6,0.9216984116939826,623.6496,0.0,0.07352941176470587
sweep-cw,baseline,5,12,20,16,,,standard,20,2899,2498,131.91203863401174,1739.4,0.9188674933798079,667.8530999999999,0.0,0.07795791652293893
sweep-cw,baseline,6,13,20,16,,,standard,20,2960,2396,128.0695945945946,1776.0,0.9148279476930918,734.1479999999999,0.0,0.07736486486486485
sweep-cw,baseline,7,14,20,16,,,standard,20,2928,2492,130.13319672131146,1756.8,0.9191633894990542,678.5784000000001,0.0,0.07377049180327869
sweep-cw,baseline,8,15,20,16,,,standard,20,2855,2380,131.28091068301225,1713.0,0.9240665833788699,602.8155,0.0,0.07320490367775831
sweep-cw,baseline,9,16,20,16,,,standard,20,2884,2471,131.2385575589459,1730.4,0.942035328069007,460.60559999999987,0.0,0.07524271844660194
sweep-cw,baseline,0,7,20,32,,,standard,20,2944,1914,132.50985054347825,1766.4,0.9535810162569426,379.7136,0.0,0.0716711956521739
sweep-cw,baseline,1,8,20,32,,,standard,20,2966,1869,132.4777478084963,1779.6,0.9545815194038013,376.7076,0.0,0.06877950101146325
sweep-cw,baseline,2,9,20,32,,,standard,20,2994,1889,130.4863059452238,1796.4,0.9631250510355379,308.8836,0.0,0.06546426185704741
sweep-cw,baseline,3,10,20,32,,,standard,20,2945,1930,132.89541595925297,1767.0,0.9398372600566522,499.67550000000017,0.0,0.06859083191850594
sweep-cw,baseline,4,11,20,32,,,standard,20,2984,1811,127.91253351206434,1790.4,0.9348810643730678,558.2016000000001,0.0,0.07640750670241289
sweep-cw,baseline,5,12,20,32,,,standard,20,2975,1885,128.0601680672269,1785.0,0.9590950466509898,339.7275000000001,0.0,0.0719327731092437
sweep-cw,baseline,6,13,20,32,,,standard,20,2945,1925,131.83429541595925,1767.0,0.9655296983298933,278.6715,0.0,0.06078098471986418
sweep-cw,baseline,7,14,20,32,,,standard,20,2922,1919,132.7460643394935,1753.2,0.9696814551665867,240.26039999999998,0.0,0.07563312799452429
sweep-cw,baseline,8,15,20,32,,,standard,20,2903,1921,132.55425421977264,1741.8,0.9735803652915282,205.82189999999997,0.0,0.066138477437134
sweep-cw,baseline,9,16,20,32,,,standard,20,2898,1904,133.86300897170463,1738.8,0.9309424257875715,560.6963999999999,0.0,0.06901311249137337
sweep-cw,baseline,0,7,20,64,,,standard,20,2904,1212,135.23037190082644,1742.4,0.9731247663314148,209.6136,0.0,0.06336088154269973
sweep-cw,baseline,1,8,20,64,,,standard,20,2913,1192,136.17164435290078,1747.8,0.9879922456250652,92.81789999999998,0.0,0.058359079986268464
sweep-cw,baseline,2,9,20,64,,,standard,20,2857,1218,137.85999299965,1714.2,0.9801611737270736,148.6899,0.0,0.06720336016800839
sweep-cw,baseline,3,10,20,64,,,standard,20,2871,1194,136.50574712643677,1722.6,0.9789987718927341,159.13710000000006,0.0,0.06513409961685825
sweep-cw,baseline,4,11,20,64,,,standard,20,2898,1234,135.93892339544513,1738.8,0.9869653509328589,99.82440000000001,0.0,0.05797101449275364
sweep-cw,baseline,5,12,20,64,,,standard,20,2826,1248,139.20382165605096,1695.6,0.9695047514531143,226.0836,0.0,0.0732484076433121
sweep-cw,baseline,6,13,20,64,,,standard,20,2890,1239,136.63114186851212,1734.0,0.9725087911320186,212.49,0.0,0.0629757785467128
sweep-cw,baseline,7,14,20,64,,,standard,20,2832,1205,139.44879943502823,1699.2,0.9799164284143391,147.93839999999997,0.0,0.0646186440677966
sweep-cw,baseline,8,15,20,64,,,standard,20,2873,1202,137.12704490080057,1723.8,0.9753725240885126,187.56990000000002,0.0,0.06648103028193525
sweep-cw,baseline,9,16,20,64,,,standard,20,2837,1207,138.29925978145928,1702.2,0.9840264719618736,117.58589999999997,0.0,0.060274938315121616
