scenario,timing_preset,total_users,cw_min,lower_cw_min,higher_cw_min,class_name,class_users,trials,mean_successful_packets,mean_collision_attempts,mean_average_delay_slots,stddev_average_delay_slots,ci95_low_average_delay_slots,ci95_high_average_delay_slots,mean_throughput_bits_per_slot,stddev_throughput_bits_per_slot,ci95_low_throughput_bits_per_slot,ci95_high_throughput_bits_per_slot,mean_per_user_throughput_bits_per_slot,mean_jain_fairness_index,ci95_low_jain_fairness_index,ci95_high_jain_fairness_index,mean_per_user_throughput_variance,ci95_low_per_user_throughput_variance,ci95_high_per_user_throughput_variance,mean_zero_success_station_fraction,ci95_low_zero_success_station_fraction,ci95_high_zero_success_station_fraction,mean_max_station_throughput_share,ci95_low_max_station_throughput_share,ci95_high_max_station_throughput_share
sweep-cw,baseline,20,0,,,standard,20,10,9985.7,45.1,2.0028145622163884,0.0010829824898295635,2.002143322714936,2.003485801717841,5991.42,3.3111931384323787,5989.367701230327,5993.472298769673,299.571,0.049999999999999996,0.04999999999999999,0.05,1705113.36549,1703945.3846300675,1706281.3463499325,0.95,0.95,0.95,1.0,1.0,1.0
sweep-cw,baseline,20,2,,,standard,20,10,3684.1,2837.4,87.87574342964763,5.98807831501739,84.16429403819566,91.58719282109959,2210.46,53.89207733980937,2177.0573444025777,2243.8626555974224,110.523,0.7226140005104743,0.6869130300851418,0.7583149709358068,4794.8042700000005,3931.2968315511134,5658.311708448888,0.015000000000000003,0.0,0.0359168725089473,0.11926612834679913,0.10890982355942264,0.12962243313417562
sweep-cw,baseline,20,4,,,standard,20,10,3054.2,3104.9,114.10468613435496,3.293507285189201,112.06334917009006,116.14602309861986,1832.52,24.744777226719947,1817.1830281789396,1847.8569718210604,91.626,0.812825434048919,0.779623062413964,0.8460278056838741,1975.91724,1556.80810483005,2395.02637516995,0.0,0.0,0.0,0.10313291414480434,0.09242429223455775,0.11384153605505093
sweep-cw,baseline,20,8,,,standard,20,10,2888.1,2906.1,126.34668206000977,4.69538080215055,123.43645488795143,129.2569092320681,1732.86,22.35253900567006,1719.005752789848,1746.7142472101518,86.643,0.8669896890151879,0.8429064581343211,0.8910729198960547,1164.58857,930.0330167946709,1399.144123205329,0.0,0.0,0.0,0.08984912146964555,0.08632033916579183,0.09337790377349926
sweep-cw,baseline,20,16,,,standard,20,10,2894.0,2445.1,131.52117690995823,2.279317912285534,130.10844103152758,132.93391278838888,1736.4,25.126878039263058,1720.8261996417061,1751.973800358294,86.82,0.9181288657942664,0.9112049339999293,0.9250527975886036,673.74864,609.8060366706264,737.6912433293736,0.0,0.0,0.0,0.07780113501855847,0.07512051566625116,0.08048175437086577
sweep-cw,baseline,20,32,,,standard,20,10,2947.6,1896.7,131.53396447826725,2.0548335165520286,130.26036546981473,132.80756348671977,1768.56,19.69609098273059,1756.3522363325628,1780.767763667437,88.428,0.9544834902352572,0.9453195651192503,0.9636474153512642,374.83596,296.0867901127968,453.5851298872032,0.0,0.0,0.0,0.0694411772893743,0.06651122828440512,0.07237112629434347
sweep-cw,baseline,20,64,,,standard,20,10,2870.1,1215.1,137.24167474171102,1.415672928925661,136.36423156977065,138.1191179136514,1722.06,18.800957422429313,1710.4070458612418,1733.712954138758,86.10300000000001,0.9788571275559006,0.9749835206217413,0.9827307344900599,160.17507,130.55724048307383,189.79289951692618,0.0,0.0,0.0,0.06396272346614668,0.06113667117046561,0.06678877576182773
